[公共事件 | 序章] 旁白/未命名: 在多元宇宙的無盡象限之中，存在著一個凡人肉眼無法觀測的維度
[公共事件 | 序章] 旁白/未命名: ——「數界」 (The Math Verse)。
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 這裡不是由泥土與岩石構成的世界，而是由絕對的「邏輯」與「公
[公共事件 | 序章] 旁白/未命名: 理」所編織而成的領域。
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 在這裡，每一陣風的流動都遵循流體力學的完美軌跡，每一座山脈
[公共事件 | 序章] 旁白/未命名: 的起伏都吻合碎形幾何的精密運算。
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 秩序，是這裡唯一的信仰；運算，是維持萬物存在的呼吸。
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 然而，永恆的平衡已被打破。
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 來自混沌深淵的魔王卡薩斯 (Casus)，將「錯誤」的病毒注入了數
[公共事件 | 序章] 旁白/未命名: 界的核心。
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 真理的方程式被篡改，神聖的數列斷裂。當圓周率不再無限時，當 
[公共事件 | 序章] 旁白/未命名: 1+1 不再等於 2時，當你的美團外賣送來的卻是熊貓的外賣員時，
[公共事件 | 序章] 旁白/未命名: 你便要知道世界的基石已經開始崩塌。重力失常、空間扭曲，曾經
[公共事件 | 序章] 旁白/未命名: 井然有序的幾何平原，如今淪為了充滿 Bug 與雜訊的危險荒原。
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 面對即將歸零的命運，數界的守護者們啟動了最後的保險機制——
[公共事件 | 序章] 旁白/未命名: 召喚一位來自異界的「解題者」。
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 但命運似乎開了一個充滿諷刺意味的玩笑。
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 被召喚而來的，並非滿腹經綸的數學大師，也不是崇尚邏輯的學者。
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 而是你！悠真
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 一名來自地球的十七歲高中生。他厭惡枯燥的公式，
[公共事件 | 序章] 旁白/未命名: 對考卷上的大大的0視若無睹，卻對電子遊戲中的數值與機制擁有著
[公共事件 | 序章] 旁白/未命名: 野獸般的直覺。在他眼中，世界不過是一款設計拙劣、充滿惡意的「
[公共事件 | 序章] 旁白/未命名: 垃圾遊戲」。
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 
[公共事件 | 序章] 旁白/未命名: 現在，這位視人生為爛 Game 的少年，被迫被召喚到這個世界上, 
